token,latency_ms,tokens_per_sec
3890,3.907749,255.901799
3891,2.951208,338.844297
3892,2.934527,340.770421
3893,2.929256,341.383614
3894,3.392439,294.773171
3895,3.767725,265.412152
3896,3.078558,324.827403
3897,2.934206,340.807701
3898,2.928095,341.518974
3899,3.380937,295.775993
3900,3.845432,260.048806
3901,2.951649,338.793671
3902,2.933365,340.905411
3903,2.918205,342.676406
3904,3.394674,294.579097
3905,3.878184,257.852644
3906,2.950707,338.901829
3907,2.938234,340.340490
3908,2.933455,340.894952
3909,2.928635,341.456003
3910,3.931314,254.367878
3911,3.283735,304.531273
3912,2.950417,338.935140
3913,2.944105,339.661799
3914,2.940929,340.028610
3915,3.968484,251.985393
3916,3.372401,296.524642
3917,2.935608,340.644936
3918,2.923176,342.093668
3919,2.935849,340.616973
3920,3.390174,294.970111
3921,3.874076,258.126067
3922,2.949395,339.052585
3923,2.932603,340.993991
3924,2.926041,341.758711
3925,3.329951,300.304719
3926,3.752908,266.460036
3927,3.075022,325.200925
3928,2.935418,340.666985
3929,2.935769,340.626255
3930,3.395585,294.500064
3931,3.900766,256.359905
3932,2.944826,339.578637
3933,2.927113,341.633548
3934,2.929016,341.411587
3935,3.401456,293.991749
3936,3.927316,254.626824
3937,2.950797,338.891493
3938,2.941019,340.018205
3939,2.940638,340.062259
3940,2.934105,340.819432
3941,3.945471,253.455164
3942,3.274506,305.389576
3943,2.945267,339.527792
3944,2.939837,340.154913
3945,2.934677,340.753003
3946,3.923199,254.894029
3947,3.402057,293.939813
3948,2.941740,339.934868
3949,2.920921,342.357770
3950,2.926431,341.713165
3951,3.392179,294.795764
3952,3.878494,257.832035
3953,2.941459,339.967343
3954,2.928645,341.454837
3955,2.921162,342.329525
3956,3.348506,298.640648
3957,3.767556,265.424057
3958,3.087775,323.857794
3959,2.930269,341.265597
3960,2.927223,341.620710
3961,3.340732,299.335595
3962,3.849690,259.761176
3963,2.936971,340.486849
3964,2.923155,342.096126
3965,2.925339,341.840723
3966,3.367061,296.994916
3967,3.770361,265.226592
3968,3.408239,293.406654
3969,2.938785,340.276679
3970,2.929137,341.397483
3971,2.920720,342.381331
3972,3.867604,258.558012
3973,3.253287,307.381427
3974,2.937813,340.389262
3975,2.929978,341.299491
3976,2.924428,341.947212
3977,3.443996,290.360384
3978,3.749532,266.699951
3979,3.078829,324.798811
3980,2.929076,341.404593
3981,2.925340,341.840607
3982,3.361841,297.456066
3983,3.756655,266.194261
3984,3.437985,290.868052
3985,2.950898,338.879894
3986,2.931992,341.065051
3987,3.330863,300.222495
3988,3.754601,266.339885
3989,3.061355,326.652740
3990,2.927293,341.612541
3991,2.925039,341.875784
3992,3.352674,298.269381
3993,3.852416,259.577367
3994,2.943884,339.687297
3995,2.921001,342.348394
3996,2.925049,341.874615
3997,3.364797,297.194749
3998,3.760251,265.939694
3999,3.411265,293.146384
4000,2.950426,338.934106
4001,2.926201,341.740024
4002,3.339259,299.467636
4003,3.750733,266.614552
4004,3.063840,326.387801
4005,2.932052,341.058071
4006,2.929797,341.320576
4007,2.924878,341.894602
4008,3.858537,259.165585
4009,3.341503,299.266528
4010,2.950016,338.981212
4011,2.917504,342.758742
4012,2.922313,342.194693
4013,3.355960,297.977330
4014,3.756785,266.185049
4015,3.436602,290.985107
4016,2.953703,338.558074
4017,2.923085,342.104318
4018,3.374786,296.315085
4019,3.756555,266.201347
4020,3.066225,326.133927
4021,2.930309,341.260939
4022,2.922855,342.131238
4023,3.330142,300.287495
4024,3.832288,260.940723
4025,2.930890,341.193289
4026,2.918216,342.675114
4027,2.922484,342.174671
4028,3.348367,298.653045
4029,3.747809,266.822562
4030,3.431613,291.408151
4031,2.939095,340.240788
4032,2.923156,342.096009
4033,3.431953,291.379282
4034,3.712482,269.361575
4035,3.064111,326.358934
4036,2.930890,341.193289
4037,2.923566,342.048033
4038,2.921673,342.269652
4039,3.901317,256.323698
4040,3.381228,295.750538
4041,2.928756,341.441895
4042,2.912806,343.311570
4043,2.915971,342.938939
4044,3.879827,257.743451
4045,3.439268,290.759545
4046,3.157166,316.739760
4047,2.930980,341.182813
4048,2.922935,342.121874
4049,3.329600,300.336377
4050,3.700720,270.217687
4051,3.062046,326.579026
4052,2.922404,342.184038
4053,2.919258,342.552799
4054,3.431623,291.407302
4055,3.838980,260.485858
4056,2.942211,339.880450
4057,2.912676,343.326893
4058,2.921172,342.328353
4059,3.313410,301.803882
4060,3.742037,267.234129
4061,3.433656,291.234766
4062,2.952570,338.687990
4063,2.920419,342.416619
4064,3.331985,300.121399
4065,3.725537,268.417680
4066,3.057489,327.065772
4067,2.930288,341.263384
4068,2.917925,342.709288
4069,3.114747,321.053363
4070,3.785980,264.132404
4071,3.336924,299.677188
4072,2.931090,341.170008
4073,2.906484,344.058319
4074,2.918035,342.696369
4075,3.833560,260.854141
4076,3.450278,289.831718
4077,3.156645,316.792037
4078,2.927534,341.584419
4079,2.917614,342.745819
4080,3.431993,291.375886
4081,3.730275,268.076750
4082,3.059162,326.886906
4083,2.923687,342.033877
4084,2.917114,342.804566
4085,3.336203,299.741952
4086,3.837417,260.591955
4087,2.935108,340.702966
4088,2.915961,342.940115
4089,2.920099,342.454143
4090,3.318871,301.307282
4091,3.742368,267.210493
4092,3.428006,291.714775
4093,2.939997,340.136401
4094,2.918827,342.603381
4095,3.340340,299.370723
